input,output
"kya,aaj khelne ja rahe ho?","nahi yaar, aaj toh bahut thka hua hoon."
kaisa laga woh naya restaurant?,"bahut mast laga, khana bhi bahut tasty tha."
"kya,kuch help chahiye?","haan yaar, thoda sa help chahiye."
aaj ka mood kaisa hai?,aaj toh bahut happy mood hai.
kuch funny joke suna?,"haan yaar, ek baar ek aadmi..."
"kya,aap kahaan ja rahe ho?","bas, thoda sa walk karne ja raha hoon."
"kya,aapko coffee pasand hai?","haan yaar, bahut pasand hai."
aapko kya gift chahiye?,"kuch nahin, bas apki yaad hi bahut hai."
"kya,aapko koi problem hai?","nahi, kuch nahin, sab theek hai."
aaj kaunsa movie dekhna hai?,koi romantic comedy dekh lete hai.
kya tumhe pizza pasand hai?,"haan, mujhe pizza bahut pasand hai!"
mujhe bahut thanda lag raha hai,jaake ek cup chai pee le.
kaam ka pressure hai na yaar,"chill kar, sab theek ho jayega."
aaj toh bahut busy din tha,"haaan, ab jaldi se bed pe let jao."
train ka ticket book ho gaya?,"haan, online book kar liya hai."
weekend kya plan hai?,shayad bahar jaane ka plan bana raha hoon.
aaj kaun sa festival hai?,"diwali hai, yaad hai na?"
mujhe bhookh lagi hai,kuchh khane ke liye order kar lete hai.
mujhe doctor ke paas jaana hai,"kya hua, khud bhi nahi dekh sakte?"
aaj kya pakaya hai?,"dal chawal, wahi old favourite."
bacha party me kitne logo ko bulaya?,sabko invite kar diya.
kitni der mein pahunch jaoge?,15 min mein waha honge.
phone mein battery kaam ho gayi,charger toh leke gaye ho na?
new car buy kiya?,"haan, finally new car le hi liya."
mujhe kal exam hai,"acha, all the best for your exam."
mujhe khichdi banaani aati nahi,"koi baat nahi, mai banake deta hoon."
aaj bahut garmi hai,"haan yaar, aur paani peene ke liye khade raho."
salary kab aayegi?,"aaj hi toh aayegi, chill kar."
"kya karega yaar,time pass hi toh kar raha hoon.","achha, koi party plan karti hoon toh bata do."
"bhai,khaana bana diya?","haan yaar, aaj dal makhani banaya hai."
kaunsa movie dekhne jaa rahe ho?,"bas, kuchh random hi dekhte hain."
"kya baat hai,aaj bahut jald aa gaya?","haa yaar, kaam jaldi khatam ho gaya."
college kaisa chala?,"thanda hi, bas padhai karke aa gaya."
kya haal chal? kya kar raha tha?,"kuchh nahi yaar, phone mein scroll kar raha tha."
kitna time lagta hai ye sab karne mein?,ek ghante mein ho jayega shayad.
kaise hain aap? accha chal raha hai?,"bilkul theek hai, aap kaisa hain?"
kal office jaana hai?,"haan yaar, kal to jaana hi padega."
"yaar,kahi bahar jaane ka man kar raha hai.","acha, holiday pe chalo koi new place pe."
kitna khaana khaa lega?,"bhookh lag rahi hai, thoda zyada hi khaa lunga."
kya chal raha hai aapke saath?,"kuchh nahi yaar, bas daily routine."
kya karega aaj?,"kuchh nahi yaar, bas ghar pe hi rehunga."
aaj shopping karne jaana hai?,"haan yaar, kuchh clothes lene hain."
kal kya plan hai?,"kal toh exams hain, bas padhai karna hai."
aapko kaisi coffee pasand hai?,mujhe black coffee pasand hai.
"yaar,kuchh khane ko dijiye.","acha, chai bana kar deta hoon."
kya problem hai?,bas thodi si tension hai.
kal party karne ja rahe hain?,"haa, aap bhi aao."
aaj ka mood kaisa hai?,"acha hai, tu bata?"
kahaan ja rahe ho aise ghoomte hue?,"bhai, chai peene ja raha hoon."
kya tumhara mobile charge hua?,"haa, full charge hai, thank god."
tumhe kabhi kuchh chai ka flavour weird laga?,"haan, ek baar saffron chai pee thi, kaafi ajeeb thi."
"bhai,ye film kaise thi?","aree, timepass thi yaar."
aaj kya khana hai?,"aree, kuchh light, khane ka mood nahin hai."
chalo movie dekhne jaate hai?,"yaar, mujhe to thoda padhai karna hai."
kaunsa game khel rahe ho?,"bas, pubg khel raha hoon, tu bhi aaja."
aaj ka weather to bilkul perfect hai!,"haan yaar, aaj toh bahar jaane ka mann kar raha hai."
kya tumne yeh book padhi hai?,"nahi yaar, par suni hai, bahut famous hai."
kaisa laga party?,"yaar, bahut mazaa aaya, aapko bhi aana chahiye tha."
aaj office ka kaam kaisa raha?,"yaar, bahut bharpoor din tha, thank god."
tumhara birthday kab hai?,mere birthday ka month to november hai.
kya tumhare pasandida food hai?,"haan yaar, mujhe pizza bahut pasand hai."
kya tumne new phone liya?,"haa, samsung ka latest model, bahut acha hai."
aaj kya new song sun raha hai?,"yaar, aaj toh koi naya track nahin aaya, old ones hi sun raha hoon."
kya tumhe kal kya karna hai?,"kal toh office jana hai, aur phir shaam ko gym."
kya tumne chai pee li?,"haa, abhi abhi pee kar aaya hoon."
kaun sa movie dekhna chahte ho?,"aree, kuchh light hearted, comedy wali."
kya aaj ka lunch plan hai?,"abhi toh nahi socha, tum kya khaana chahte ho?"
"chalo,movie dekhne chalte hai?",accha idea! kaun si movie dekhni hai?
traffic bahut badhiya hai yaar!,"haan yaar, office kaise pahunchunga ab?"
kal party mein kya pehenke jaunga?,"koi formal outfit pehen le, shayad best option hai."
ye pizza toh bahut spicy hai yaar!,"haa, thoda paani pi le, theek ho jaayega."
"koi na,chill maar","chill? kaun se chill, exam aane wala hai!"
kabhi mumbai jaana chahta hoon,"mumbai ka toh maza hi alag hai yaar, jaana jaruri hai."
mujhe bahut bhook lagi hai,"kya khaana chahte ho, khana order kar leta hoon?"
office ka work bahut zyada ho raha hai,"relax, weekend pe chill karna, aur enjoy karna."
"chalo,ek cup chai pee lete hai","haan yaar, chai toh banta hai, timepass ho jayega."
ye project toh bahut tough lag raha hai,"don't worry, saath mein milkar kar lenge."
aaj kisi bhi baat pe dil nahi lag raha,"kuch sweet kha le, mood refresh ho jayega."
kya tumko phone mein kuch dikhao?,"haan dikha, mujhe samajh nahi aaya."
mujhe apna mobile kho gaya,are wah! kahan kho gaya? khud se call laga ke dekh.
"aaj kisi ne aise baat ki,bahut gussa aaya","aise logon se kya expect karna? chill, aise logon pe dhyan mat do."
kya tum kabhi swimming jaate ho?,"nahi, swimming nahi aata mujhe, tum jaate ho?"
weekend plan kya hai tumhara?,"weekend toh free hai yaar, aao, kuch planning karein."
mujhe chai bahut pasand hai,"chai toh sabhi ko pasand hai, mere toh khud ek cup banta hai."
aaj toh bahut garmi hai!,"haan yaar, khulke ac chala do yaar."
kya movie dekha aaj?,"kuch nahi yaar, netflix pe series hi dekh raha tha."
"lunch time ho gaya,kya khaayega?","bas, kuch light sa chahiye, pizza le aata hoon."
"kal exam hai,padhai kiya kya?","nahi yaar, kal subah hi karunga."
coffee peena hai kya?,"haa, jaldi se chai banado, aur biskut bhi."
ye dress kaise lagi?,"bohot achi, kharid lo yaar."
mujhe thoda gussa aa raha hai.,"chill maar, sab theek ho jaayega."
"ye kaam aaj complete karna hai,kya kar payenge?","chinta mat karo, manage ho jaayega."
"market jaana hai,aapke saath?","haa, aaj chai chai peene ja rahe hai, chalo."
aaj kya special banaya hai?,"bas, sabji aur daal hi bani hai."
ye ghana bhaari bag hai.,"koi baat nahi, main uthata hoon."
kabhi kabhi toh bahut boredom hota hai.,"padho likho yaar, time pass ho jaayega."
woh to bahut ganda admi hai.,"haan yaar, isse baat bhi nahi karna chahiye."
aaj kaisa feel kar rahe ho?,"bas, thoda thaka hua hoon."
hum kahan jaa rahe hain?,"bahar dinner pe jaa rahe hain, khaane ke liye."
ye kya chal raha hai?,"kya bataon, pata nahi kya ho raha hai."
kal ka plan kya hai?,"kal toh kuch nahi yaar, aaram karunga."
aapki family kaise hai?,"sab theek hai yaar, sab thik thak hai."
phone laaye ho kya?,"haan, mere pass hai."
kaun sa song sunaao?,aapki favourite suna du?
kaise ho bhai?,"achcha chal raha hu, tu?',"
kya khana hai?,"bhai, aaj kuch light sa chahiye.',"
kal movie dekhne jaayenge?,"haan yaar, 'avengers' dekhte hai.',"
"bhai,kaun sa phone lete ho?","iphone nahi, aise koi sa budget mein.',"
bus kitne mein aayi?,"20 rupay. bhai, kahan jaana hai?',"
kaam ka pressure hai aajkal,"haan yaar, mera bhi, kabhi free hota hi nahi.',"
aaj ghar par party hai?,"haan yaar, aaj khana special bana hai.',"
koi acchi restaurant pata hai?,"haan yaar, ek new waala open hua hai.',"
coffee pee lo?,"bhai, ek cup bana de na.',"
kal exams hai?,"haan yaar, all the best bola na.',"
yeh book aachi lagi kya?,"haan yaar, bahut interesting hai.',"
kahan ja rahe ho?,"haan yaar, gym jaa raha hu.',"
traffic bahut hai aaj,"haan yaar, kabhi to nahi hota.',"
kuch khaana hai?,"bhai, pet bhar gaya.',"
aaj kya plan hai?,"bhai, aaj toh bass chill karna hai.',"
kaam khatam ho gaya?,"haan yaar, ab jaa raha hu.',"
cricket dekha?,"haan yaar, india jeet gaya.',"
ye mobile aacha hai kya?,"haan yaar, bahut good value for money.',"
kya padhayi kar rahe ho?,"bhai, mai toh abhi kuchh nahi kar raha."
kya chal raha hai?,"sab theek hai, bas thoda busy hu."
kaun sa movie dekhne jaa rahe ho?,"koi sa bhi, bas time pass karne ke liye."
aaj kya khaane wala hai?,"mujhe to khana nahi, khud bana kar khaunga."
office ka kaam kaisa chal raha hai?,"ekdum badhiya chal raha hai, no tension."
kal kya plan hai?,"kal toh koi plan nahi hai, aaram karenge."
kaha jaa raha hai?,"bas market jaa raha hu, kuchh saamaan lene ke liye."
yeh kaunsa song hai?,"mujhe nahi pata yaar, ye toh ek alag genre ka hai."
kitne ka chai chahiye?,"do chai de do, ek garam, ek thoda thanda."
kya tumne khana khaya?,"haan yaar, abhi thodi der pehle hi khaya."
konsi college mein ja raha hai?,"main to ab college jaa raha hu, abhi admission lene ke liye."
kya tumhe kaam pe koi problem aa rahi hai?,"nahi yaar, sab theek chal raha hai."
kya tumhe movie dekhne jaana hai?,"haan yaar, jaana hai, bas koi acha sa movie batao."
kitne ka mobile phone le raha hai?,"koi sa bhi phone le loo, bas camera acha hona chahiye."
kya tumne book padh li?,"haan yaar, abhi thodi der pehle hi padh li."
kya tumhe chai pee jaana hai?,"haan yaar, chai toh pee hi jaana hai, abhi jaake pee lenge."
kitne ka train ka ticket hai?,"paise to thik hai yaar, bas seat mil jaaye."
konse kaam mein lage ho?,"koi kaam nahi yaar, bas aaram kar raha hu."
kya tumhe khana banaana aata hai?,"haan yaar, basic kaam toh aata hai."
kaha jaa rahe ho?,bas doston se milne jaa raha hu.
aaj kya khaana banaya?,"kuch special nahi, bas simple dal chawal."
kya tu movie dekhne ja raha hai?,"haan yaar, kal night avengers dekhne jaa raha hoon."
mobile charge kar liya?,"haan, 100% ho gaya hai."
"bhai,kya scene hai?","are yaar, bas chill maar raha hoon."
kya tu exam ke liye padhai kar raha hai?,"haan yaar, kal test hai."
aaj kaise hai?,"acha hoon, tu kaise hai?"
kaunsa song suna raha hai?,"aaj kalma suna raha hoon, bohot acha hai."
kitna paisa lagaya?,"arre yaar, thoda thoda hi laga, kuch zyada nahi."
kab aa raha hai?,aaj evening me hi aajaunga.
kitna time laga?,1 hour me hi pohoch gaya.
koi new phone liya kya?,"haan yaar, iphone 14 pro max."
biryani khaoge?,"haan yaar, bilkul khaoonga."
kya padhai me problem aa rahi hai?,"nahi yaar, sab sahi chal raha hai."
kya tum shopping karne jaa rahe ho?,"haan yaar, kuch kapde lene hai."
kab tak complete kar lega?,shaam tak khatam kar dunga.
coffee banayega?,"haan yaar, coffee banake laata hoon."
kya tu ghar ja raha hai?,"haan, abhi ja raha hoon."
"chalo,chalte hai?","haan, chalte hain."
kya tu aaj raat khana banayega?,"nahi yaar, aaj bahar jaake khaaenge."
aaj kya khaana hai?,"kuch alag se banake de, bore ho gaya hu"
kaise ho aaj?,"theek hu, bas thodi headache hai"
"bhai,kya kar raha hai?","kuch nahin yaar, bas aise hi"
kya plan hai aaj ke liye?,"bas, ghar pe hi chillax karna hai"
kal exam hai na?,"haan, aaj to thoda padhna padega"
movie dekhne jaaye?,"haan chal, aaj bahar jaane ka mann hai"
kya tumne coffee pi?,"nahin yaar, aaj tea pi"
cricket match dekha?,"haan yaar, india jeet gaya!"
wo naya restaurant jaana hai kya?,"haan, kal jaate hai, tu bhi chalna"
aaj weather bahut ganda hai na?,"haan yaar, khul ke bahar nahin nikala jaa sakta"
bus ka wait kar raha hoon?,kahan ja raha hai?
koi problem ho gayi kya?,"nahin yaar, bas thoda stress hai"
phone aaya kya?,"nahin, abhi tak kuch nahin"
aaj shopping karne jaana hai?,"haan, kuch clothes lene hai"
tum kahaan ja rahe ho?,"office ja raha hoon, kaam bahut hai"
kya tumhe khana banana aata hai?,"haan yaar, basic se toh aata hai"
kya aapko aaj party karna hai?,"nahi, main ghar pe hi relax karna chahta hu"
tumne kya padha hai aaj?,"english padha hai, kal exam hai"
kitna time ho gaya hai?,"5 baj gaye hain, ab jaldi karna padega"
"bhai,chai peena hai?","haa yaar, thodi der mein."
kya kar rahe ho yaar?,"kuchh nahi, bas phone pe baat kar raha tha."
kya movie dekhne ja rahe ho?,"koi action wali, aisa kuchh."
kitna time laga na aane mein?,"haan yaar, traffic bahut zyada tha."
kya aaj dinner pe chalenge?,"haa, chalte hain, aisa plan kar lete hain."
kaisa raha aaj ka din?,"okay okay, kaam thoda zyada tha."
"bhai,party mein aana?","haa yaar, jaroor aaunga."
kahaan jaa rahe ho aise jaldi?,"kaam hai yaar, bahut urgent."
kitne paise lagi na?,"bahut yaar, saare savings nikal gaye."
kya padhai mein problem aa rahi hai?,"haa yaar, thoda confusion hai."
kisne kiya ye?,"pata nahi yaar, koi aur hi hoga."
kya tumne woh movie dekhi?,"haa, bahut maja aaya."
kya aaj cricket match dekh rahe ho?,"haa, jaroor, team india jeet jayegi."
kaise ho aap?,"achchha hoon, aap kaise ho?"
kya kal college aane wala hai?,"haan yaar, koi test hai kya?"
kya kuchh khaana hai?,"haan, kuchh chai ke saath khana hai."
kaise hain aap log?,"sab thik hai, tum kaise ho?"
kya aapko pata hai woh kahaan hai?,"haan, woh office mein hoga."
kya aap mujhe kuchh madad kar sakte ho?,"haa, kya baat hai?"
aaj bahut garmi hai na?,"haan yaar, pyaar se ac chala raha hoon."
coffee peena hai?,"haaan, garam garam chai se achcha coffee hota hai."
kya movie dekhne ja rahe ho aaj?,"koi majaa aane wala nahi, bas ghar pe hi reh raha hoon."
kaise ho tum?,"bas chal raha hai, tum batao."
"bhai,kya khaana banaya?","aaj aloo matar banaya hai, khana hai?"
kal shopping karna hai?,"haan, jeans ki kuchh new arrivals aayi hain."
kya exam ka result aa gaya?,"haan yaar, pass ho gaya! finally!"
office ka kaam bahut jyada hai?,"haan, lagta hai aaj late ho jaayenge."
aaj kaise rahe tum?,"theek-thak yaar, bas thoda tired hoon."
kitni der mein aaoge?,"jaldi aata hoon, bas 15 minute mein."
ye phone ka battery itna jaldi kyun khatam hota hai?,"yaar, ye phone thoda outdated ho gaya hai."
kal party mein kya pehenoge?,"kuchh light and comfy, baarish aa rahi hai."
cricket match dekhne jaa rahe ho?,"haan yaar, india ki jeet pakki hai."
kya tumhe pani chahiye?,"nahi yaar, thoda garam ho raha hai."
bus kitni der mein ayegi?,"yaar, abhi traffic hai, pata nahi."
tumhara favorite food kya hai?,"chicken biryani, mast hota hai."
kya aaj khelne jaa rahe ho?,"haan yaar, park mein volleyball khelna hai."
laptop kharab ho gaya hai?,"haan yaar, service mein de raha hoon."
kya aapke ghar par wifi hai?,"haan hai, password aapko bata deta hoon."
"kya re baba,kaise ho?","chalo, jeevan jaise tha vaise hi hai!"
kal movie dekhne jaana hai kya?,"haan, jaana hai, kahan jaana hai?"
aaj weather bahut hot hai na?,"haan, bahut garmi hai, cool drink toh jaruri hai!"
office ka kaam khatam ho gaya?,"abhi toh kaafi hai, thoda aur karke jaana hai."
lunch ke liye kya bana hai?,"aaj dal chawal banaya hai, tu kya khayega?"
yeh naya phone kaisa laga?,"bhai, bahut smooth hai, battery life bhi amazing hai!"
kuch shopping karna hai kya?,"haan, thode kapde aur juttiyaan dekhni hain."
kya tumne vo show dekha?,"haan dekha, bahut mast tha, tu bhi dekhna!"
"kal weekend hai,kya plan hai?","kuch special nahin, ghar pe chill karna hai."
kaise ho aaj?,"bhai, aaj bahut mood off hai, kuch nahi kar raha."
yeh ghana kya hai?,"aare bhai, traffic jam hai, late ho jaoge!"
"bhai,party mein aana hai kya?","haan, aana hai, aaj toh mast party honi hai!"
yeh new restaurant kahan hai?,"ekdum paas hi hai, dekh lekhte hain!"
kya tumhe ye video pasand aayi?,"haan, bahut majaa aaya, bahut funny hai!"
"bhai,mobile charge karne do?","haan bhai, chaarje karo, koi baat nahin!"
ye movie ticket lelo?,"haan bhai, aaj movie dekhni hi hai!"
tumhare office se kya khana banaya hai?,"aaj thoda spicy khana bana hai, aa kar try karna!"
"kal birthday hai tumhara,kya plan hai?","bas, ghar pe cake party hai, aana!"
"bhai,meri car ka puncture ho gaya hai, kuch help karo?","haan bhai, kya kar sakta hoon, bataye!"
"aaj cricket match hai,kya dekhne jaana hai?","haan jaana hai, mast match honi chahiye!"
kya scene hai yaar?,"chill kar raha hu, bas, tu batta?"
aaj bahut garmi hai na?,"haan yaar, pakka ice cream khaane chalte hai!"
kaam thoda bahut jyada ho gaya hai!,"aare, chill kar, weekend aa gaya hai."
wo movie dekha kya tu?,"nahi yaar, kya time hai dekhne ka, bas kaam kaaam."
aaj ka khana toh majaa aaya!,"haan yaar, khaane wala part toh perfect tha."
"bhai,mere phone ka battery chala gaya!","charger toh mere bag mein hai, le ja."
"chalo,office chalte hai","haan, bus thodi der mein chalta hu."
kya pata nahi chal raha hai?,"are, chill kar, sab manage ho jaayega."
kabhi kabhi toh mood hi kharab hota hai,"haaan, hota hai, koi baat nahi, ho jaata hai."
yeh naya coffee shop bahut achcha hai na?,"haan yaar, coffee bhi thik thi, aur ambience bhi achcha tha."
kal toh ek party thi,kaisa tha? kya mazaa aaya?
"ab kya karu yaar,bore ho raha hu!","kuch creative karna start kar de, koi hobby le le."
"bhai,mujhe thodi help chahiye","aare, batta kya chahiye, mera toh time hi hai aaj."
saari deadlines aa gayi hain,"are, chill, thoda overtime laga dena."
kya chai piyega?,aaj garam chai chahiye.
bahar ka mahaul kya hai aaj?,"baarish aa rahi hai, maza aa raha hai."
kaise hai bhai? long time no see!,"sab thik hai yaar, tu bata."
phone ki battery bahut jaldi kharab ho rahi hai,"nahi yaar, mujhe toh kuch dikkat nahi aa rahi."
kya plan hai weekend ka?,"kuch special nahi, chill karenge."
kya aaj movie dekhne jaate hain?,"haa yaar, kaunsi movie dekhni hai?"
"chalo,chai peete hain!","haan yaar, chai to banta hai."
"bhai,kya hua? khamosh kyun hai?","bas yaar, thoda tension hai."
aaj toh party hai!,"haan yaar, khulke masti karenge."
aaj ka kaam toh ho gaya na?,"haan yaar, bas thoda sa baaki hai."
koi new series dekh rahe ho?,"haan yaar, stranger things dekh raha hoon."
"yaar,bahut bhook lagi hai!","chalo, pizza order karte hain."
mobile toh charge kar liya?,"haan yaar, charger laga hua hai."
kya tumhe bhook lagi hai?,"haan yaar, thoda sa."
kal ki meeting ka kya hua?,"haan yaar, successful rahi."
aaj kahan jaane ka plan hai?,bas ghar par aaram karunga.
aap kaise hain?,"theek hu, aap kaise ho?"
kya tumhen yaad hai?,"haan yaar, bilkul yaad hai."
yeh sab kaise ho gaya?,"pata nahi yaar, suddenly ho gaya."
kaunsi book padh rahe ho?,ek romantic novel padh raha hoon.
aaj kya khaane ka mood hai?,pizza ka mood hai yaar.
kya tumhen yeh song pasand hai?,"haan yaar, bahut acha hai."
kitne din se yaad aaya!,"haan yaar, waise bhi dekhne ka plan tha."
"yaar,ye toh bahut khushkhabar hai!","haa yaar, main bhi khush hoon."
kya khaana bana rahe ho?,aaj paneer butter masala bana rahi hoon.
kya tum kal movie dekhne jaoge?,"haan, aur kya, pathaan dekhne jaana hai!"
"bhai,exam kaise gaya?","theek tha yaar, thoda tough tha lekin manage ho gaya."
"didi,kya tumhe aaj office jaana hai?","nahi yaar, aaj to weekend hai."
kya tumhe ye dress pasand aayi?,"haan, bahut pretty hai."
"are yaar,tum phone pe hi busy ho?","haan, ek important call aa gaya hai."
